resume_id,job_id,label,semantic_score
R_001953,J_000240,0,0.5460949
R_001218,J_000777,0,0.42120808
R_008998,J_001837,1,0.6218601
R_001194,J_002263,1,0.7345833
R_004927,J_000302,1,0.7494069
R_006887,J_000444,0,0.6351459
R_003398,J_000803,1,0.47539157
R_000439,J_001894,1,0.6613358
R_003386,J_000558,1,0.43125123
R_008004,J_000440,0,0.5380218
R_002574,J_000896,1,0.8849646
R_003918,J_000764,1,0.64190423
R_008857,J_000681,0,0.69739413
R_000026,J_001210,1,0.5601456
R_008668,J_000016,1,0.4683845
R_002587,J_002411,1,0.6712731
R_004702,J_001426,0,0.41633826
R_007734,J_001278,1,0.83938694
R_002355,J_002444,1,0.6173605
R_002308,J_002272,1,0.63651145
R_009975,J_000940,0,0.47067305
R_003714,J_001770,0,0.46375385
R_000280,J_002449,1,0.79096735
R_009100,J_001321,0,0.4165454
R_001879,J_000227,1,0.7210729
R_009940,J_002234,1,0.5842794
R_005916,J_001798,1,0.59158456
R_006951,J_000150,0,0.4503234
R_002007,J_000588,1,0.4798739
R_000297,J_000145,0,0.4485694
R_005476,J_001246,0,0.46494454
R_002295,J_001430,1,0.56406343
R_008947,J_002193,0,0.5094502
R_009884,J_001687,1,0.5525279
R_000254,J_000683,0,0.47740048
R_005190,J_000313,1,0.42956483
R_002576,J_000225,0,0.4976802
R_007844,J_002217,1,0.59927803
R_002765,J_000911,1,0.67741966
R_009626,J_001568,0,0.46865055
R_003061,J_000711,0,0.46088704
R_009096,J_000021,0,0.49904066
R_007187,J_001633,0,0.49029207
R_000433,J_000037,1,0.6328257
R_009614,J_000070,1,0.68568754
R_003181,J_000763,1,0.5392361
R_002088,J_001921,0,0.47404835
R_002969,J_001715,1,0.63644063
R_004478,J_001911,1,0.57732475
R_008363,J_001996,0,0.51319075
R_001029,J_001355,1,0.90248954
R_001807,J_000435,1,0.6700712
R_006915,J_001100,0,0.48380777
R_009015,J_001924,1,0.535409
R_006371,J_001591,1,0.6954123
R_005350,J_000431,1,0.67832863
R_004675,J_000153,1,0.559278
R_008797,J_001805,1,0.6383736
R_005899,J_000100,0,0.5646331
R_004355,J_002106,1,0.6716155
R_008086,J_001780,1,0.821206
R_003943,J_001274,1,0.62360626
R_008966,J_001469,1,0.6159073
R_001171,J_000919,0,0.48203135
R_007537,J_001519,0,0.34762806
R_003556,J_002384,0,0.68704426
R_009373,J_000490,1,0.61008537
R_008895,J_000984,1,0.65399796
R_009024,J_001087,1,0.6627702
R_004343,J_001665,0,0.6017306
R_004613,J_000477,0,0.61465144
R_009399,J_002255,0,0.5484642
R_005870,J_000077,1,0.64058435
R_000084,J_001227,1,0.45312664
R_007038,J_002458,0,0.60655993
R_007883,J_000991,0,0.57444656
R_006226,J_000197,0,0.478208
R_006042,J_000995,1,0.4661916
R_009226,J_001729,1,0.68169093
R_000380,J_001055,1,0.7467207
R_004083,J_000907,1,0.6548986
R_004052,J_001757,0,0.5142643
R_005962,J_000194,0,0.57012224
R_003158,J_000797,1,0.6495955
R_000149,J_000941,0,0.566035
R_003164,J_002122,0,0.73135495
R_009315,J_001315,1,0.7708167
R_006318,J_001955,1,0.7153582
R_001659,J_000859,0,0.5535275
R_003755,J_000982,1,0.6772909
R_001241,J_000192,1,0.6115587
R_005733,J_000141,0,0.40970665
R_007667,J_002403,1,0.7009033
R_004913,J_001296,1,0.5866393
R_004852,J_000805,1,0.6839659
R_005183,J_000951,1,0.5390078
R_000640,J_002065,0,0.4488902
R_001320,J_001135,0,0.5815046
R_005032,J_000042,1,0.7942093
R_001924,J_000717,1,0.64525515
R_000477,J_001687,1,0.47542197
R_000178,J_001221,0,0.70783985
R_004723,J_001282,0,0.3828686
R_003437,J_001057,1,0.8804215
R_009640,J_002238,0,0.48610136
R_003573,J_000736,1,0.65840214
R_005338,J_000744,0,0.44644666
R_006312,J_000363,1,0.56753635
R_005326,J_000137,1,0.73111486
R_005536,J_002062,1,0.57908285
R_002087,J_000246,0,0.571916
R_000549,J_000978,1,0.59639955
R_001338,J_000398,0,0.7378797
R_006720,J_001211,0,0.6152174
R_009059,J_000155,1,0.8457647
R_001779,J_002444,0,0.6518233
R_002204,J_002279,1,0.8866057
R_002214,J_002207,0,0.4203524
R_005932,J_002372,1,0.5650428
R_003956,J_001671,0,0.47820264
R_007645,J_001999,0,0.51457787
R_005586,J_000649,0,0.7816106
R_003839,J_002477,0,0.54546773
R_004842,J_000360,1,0.52801037
R_009054,J_001320,0,0.50737077
R_008967,J_002488,1,0.5011866
R_009977,J_001504,0,0.507227
R_000771,J_000533,1,0.74809146
R_003481,J_002226,0,0.48942828
R_001172,J_001066,1,0.7167926
R_003471,J_000354,1,0.5699867
R_004922,J_002053,0,0.61429405
R_004210,J_001452,1,0.7101128
R_008771,J_001408,1,0.6586622
R_006008,J_000496,1,0.619186
R_000107,J_001850,1,0.7856524
R_008044,J_000452,1,0.506553
R_000627,J_000594,1,0.73791957
R_003900,J_002466,1,0.5053213
R_006235,J_001509,0,0.41130346
R_008452,J_000382,0,0.4684499
R_000102,J_001123,0,0.33321792
R_002943,J_002051,0,0.4862075
R_008985,J_000426,1,0.5125317
R_002747,J_001697,1,0.62290406
R_004550,J_001691,0,0.45297655
R_008013,J_000023,1,0.6863991
R_002512,J_002494,1,0.4470606
R_007367,J_001023,1,0.7914382
R_004637,J_001559,0,0.44028503
R_008852,J_000189,0,0.55690795
R_000836,J_001412,1,0.7234974
R_009939,J_001313,0,0.47695592
R_008198,J_001191,0,0.5169411
R_008551,J_000760,0,0.4775193
R_006774,J_000838,1,0.5270814
R_002776,J_000516,1,0.6673724
R_009213,J_000072,0,0.44046348
R_004237,J_001875,0,0.42725226
R_003651,J_000077,0,0.4817428
R_001374,J_001549,1,0.60775757
R_003359,J_001747,1,0.6778281
R_004177,J_001705,0,0.570215
R_005355,J_001785,0,0.5474639
R_007572,J_001478,1,0.55333316
R_007465,J_000639,0,0.51396906
R_004389,J_001925,1,0.64352256
R_000227,J_000773,0,0.4230662
R_005400,J_002346,0,0.54511964
R_007749,J_002365,0,0.53862333
R_005526,J_001427,1,0.66513485
R_005968,J_000984,1,0.6995243
R_004293,J_000885,0,0.6462097
R_001585,J_001333,1,0.70453274
R_004680,J_000551,1,0.7250196
R_009472,J_000876,0,0.7651764
R_007295,J_002167,0,0.42444485
R_009615,J_001288,0,0.49146175
R_000475,J_000490,1,0.5824201
R_009659,J_000967,0,0.41690797
R_002953,J_000820,0,0.41240802
R_006427,J_001382,0,0.673017
R_006603,J_000954,1,0.67957926
R_002651,J_002042,1,0.519462
R_000453,J_001896,1,0.74291444
R_001551,J_002287,1,0.64738035
R_003307,J_000164,1,0.5719713
R_001818,J_000879,1,0.65931183
R_006954,J_002203,0,0.52693784
R_003871,J_001960,0,0.59998405
R_006846,J_001022,1,0.6847
R_000181,J_001329,0,0.3577603
R_004434,J_001580,1,0.6815765
R_002613,J_000595,0,0.6143874
R_001186,J_000667,1,0.7189085
R_006141,J_001840,0,0.371594
R_001559,J_000055,0,0.44904304
R_000510,J_000869,1,0.6072832
R_004659,J_000215,1,0.6633655
R_008554,J_000744,1,0.7852194
R_001652,J_000642,0,0.4792568
R_006070,J_000709,1,0.65639293
R_007375,J_000163,1,0.6202403
R_001863,J_001259,1,0.5843401
R_001961,J_002483,1,0.65998065
R_000401,J_002362,1,0.75390613
R_001884,J_001783,0,0.44709742
R_000550,J_001235,1,0.657148
R_006885,J_001397,1,0.7752707
R_006136,J_000962,0,0.7075966
R_006563,J_002462,1,0.48003766
R_009363,J_001581,0,0.71946806
R_005612,J_002180,0,0.4222989
R_000916,J_000208,0,0.65534735
R_001319,J_001842,0,0.5004213
R_002154,J_000038,1,0.6535747
R_008834,J_001616,1,0.4316731
R_006439,J_002459,1,0.50974965
R_005096,J_001509,1,0.7211047
R_008766,J_002063,0,0.5352952
R_008641,J_000745,0,0.6064748
R_008085,J_001837,1,0.6915396
R_000142,J_001926,0,0.47035402
R_001064,J_000440,0,0.61570215
R_004264,J_000227,0,0.43289846
R_003994,J_002371,1,0.61009383
R_004810,J_001375,0,0.42048192
R_009692,J_002300,1,0.5974715
R_008451,J_000606,1,0.49985984
R_008322,J_002271,1,0.78617734
R_009328,J_000019,1,0.7521672
R_005289,J_002456,1,0.7602366
R_002433,J_001634,1,0.6364814
R_009497,J_001380,1,0.54149365
R_007055,J_000719,0,0.48281458
R_003402,J_001671,1,0.5483757
R_008393,J_002164,1,0.4752101
R_006119,J_000676,1,0.6681108
R_002623,J_000544,1,0.69558877
R_009330,J_000409,0,0.52219653
R_000918,J_000689,1,0.6698219
R_003741,J_002435,0,0.50295717
R_000660,J_000248,0,0.58630216
R_001037,J_002127,1,0.62233704
R_004961,J_000118,1,0.66365135
R_003265,J_000281,0,0.56500953
R_005360,J_000268,1,0.711113
R_001516,J_001113,0,0.54512835
R_004445,J_002499,1,0.6077071
R_005835,J_000545,0,0.6085663
R_004757,J_001009,0,0.4826237
R_002295,J_000493,0,0.48605597
R_006732,J_001494,1,0.5890235
R_002779,J_000501,1,0.67636776
R_000458,J_001483,0,0.47478092
R_009394,J_000219,1,0.63151515
R_005692,J_002104,1,0.72408456
R_009056,J_000368,1,0.6096576
R_001554,J_000953,1,0.54539824
R_001388,J_002362,0,0.35236636
R_007706,J_000314,1,0.6722029
R_000164,J_000768,0,0.43889195
R_007933,J_001686,0,0.55820656
R_008214,J_000306,0,0.50517213
R_000078,J_000860,1,0.8048395
R_006071,J_001480,1,0.6390766
R_002853,J_002171,0,0.39527532
R_000394,J_000229,0,0.5702577
R_002742,J_000662,1,0.6713066
R_006829,J_000556,1,0.73823786
R_004682,J_002274,1,0.70326173
R_009707,J_001813,0,0.38807416
R_006993,J_002006,0,0.45310012
R_008053,J_001002,0,0.5691
R_002557,J_001889,0,0.6557428
R_000854,J_001706,1,0.7007686
R_008660,J_000711,1,0.4312169
R_008346,J_000595,1,0.69748414
R_009084,J_001350,0,0.48729622
R_009446,J_000990,1,0.7437621
R_008006,J_000448,1,0.40603548
R_005339,J_000357,1,0.63265395
R_003500,J_002059,1,0.4953416
R_001522,J_002051,0,0.6610661
R_009606,J_001627,1,0.47622728
R_005621,J_001681,1,0.7582691
R_000691,J_000778,1,0.60880613
R_002413,J_001166,0,0.5239902
R_007755,J_002330,1,0.72581416
R_004622,J_001204,1,0.6958299
R_000890,J_000086,0,0.5407949
R_000656,J_002122,1,0.70778656
R_000343,J_002075,1,0.6809376
R_009276,J_002438,1,0.5729232
R_000193,J_000542,1,0.5380841
R_007456,J_000935,0,0.5402331
R_008098,J_001590,0,0.51298714
R_001073,J_001703,1,0.5893638
R_000803,J_001609,0,0.7112115
R_007275,J_001954,1,0.5250176
R_005754,J_000334,0,0.55311793
R_009358,J_002356,1,0.55002797
R_006586,J_000946,0,0.43016696
R_000202,J_002310,1,0.5972073
R_006103,J_000485,0,0.41110927
R_006608,J_000301,1,0.56579924
R_000914,J_001591,0,0.34441334
R_005571,J_000532,0,0.4709038
R_003613,J_001999,0,0.58105695
R_006130,J_001431,1,0.6516439
R_008741,J_001925,1,0.7322768
R_002004,J_002137,0,0.5065286
R_000140,J_002293,1,0.6103214
R_003616,J_001505,1,0.62295926
R_000749,J_001435,0,0.68810636
R_001226,J_002238,0,0.6530316
R_007817,J_001483,1,0.5081737
R_007888,J_001627,0,0.62086976
R_004569,J_001846,0,0.47681257
R_007493,J_001363,0,0.6057964
R_007424,J_000504,0,0.5000814
R_004748,J_000396,0,0.49752727
R_000222,J_002170,1,0.7271226
R_008302,J_002117,1,0.7398542
R_000904,J_000371,0,0.365448
R_006696,J_000711,0,0.5165971
R_001911,J_001072,0,0.5237732
R_008202,J_001768,1,0.7165631
R_004916,J_000300,0,0.64465535
R_002481,J_001011,1,0.67566705
R_006113,J_000391,0,0.48135173
R_005049,J_000552,1,0.56928986
R_008732,J_001671,1,0.664026
R_007075,J_000250,1,0.6805926
R_001222,J_001291,1,0.7895373
R_006194,J_001284,1,0.6498442
R_001285,J_001412,1,0.8952295
R_008871,J_001960,1,0.67950153
R_002875,J_002469,1,0.57745326
R_006400,J_001262,1,0.69924045
R_003530,J_000125,0,0.4446713
R_009141,J_001363,1,0.57242435
R_005737,J_000641,0,0.45945925
R_005888,J_000322,0,0.5394732
R_003143,J_000638,1,0.67709744
R_003159,J_002482,0,0.408775
R_009872,J_000331,1,0.61120963
R_004679,J_001976,0,0.52737033
R_002456,J_002428,1,0.5413574
R_007872,J_002397,0,0.66611195
R_003287,J_000638,1,0.7970362
R_001247,J_000603,0,0.6152972
R_005341,J_000309,1,0.61599636
R_004582,J_000498,0,0.75008255
R_001272,J_000592,0,0.5576799
R_003633,J_001972,1,0.6182871
R_002801,J_001021,0,0.49925283
R_009640,J_001468,1,0.70123804
R_009356,J_001366,0,0.48043007
R_007366,J_000828,0,0.5625007
R_001139,J_001403,1,0.7517673
R_003402,J_001001,1,0.6238897
R_008153,J_002491,1,0.57165825
R_008615,J_001539,1,0.67266494
R_000767,J_000777,0,0.4522593
R_004063,J_002033,1,0.86878747
R_006936,J_001415,1,0.678772
R_006662,J_002072,1,0.5849848
R_002156,J_001069,0,0.6308478
R_008182,J_000445,0,0.50207174
R_007047,J_002411,1,0.5122952
R_006688,J_001328,1,0.60266685
R_003206,J_000622,1,0.6880329
R_009708,J_001676,1,0.40271336
R_007986,J_000795,1,0.54251796
R_002185,J_002085,1,0.60973525
R_008462,J_000713,0,0.61695874
R_001076,J_001479,0,0.41886693
R_008017,J_001790,1,0.5065645
R_004152,J_001040,1,0.56292367
R_001812,J_000508,0,0.45990956
R_001134,J_002014,0,0.63242644
R_009952,J_002163,0,0.48343492
R_009871,J_001718,0,0.76886165
R_005597,J_001012,0,0.46930292
R_004539,J_000150,0,0.42793205
R_008243,J_000733,0,0.48260045
R_008379,J_000175,0,0.5051305
R_008913,J_000248,0,0.5249311
R_002932,J_002423,1,0.600145
R_006804,J_000260,0,0.47134584
R_009077,J_001395,1,0.7234331
R_001171,J_002428,0,0.4197061
R_008032,J_002453,1,0.5884331
R_001647,J_001841,1,0.62764144
R_003606,J_001845,0,0.67188483
R_004403,J_002225,1,0.65577376
R_002772,J_001410,1,0.8057685
R_002256,J_001000,1,0.647714
R_002154,J_001919,1,0.72286224
R_001673,J_000077,1,0.64764535
R_006082,J_001392,0,0.46000013
R_000657,J_001877,1,0.7468548
R_008805,J_000247,1,0.55140007
R_009570,J_002089,0,0.48032892
R_007083,J_001249,1,0.7394428
R_007581,J_001964,0,0.510742
R_003983,J_002312,0,0.43054768
R_009033,J_000238,1,0.61303186
R_005090,J_000728,0,0.501354
R_009473,J_000048,0,0.7123345
R_009582,J_001609,1,0.79712236
R_003322,J_001522,0,0.5654336
R_008392,J_000386,0,0.6232831
R_004394,J_002005,0,0.47250357
R_009087,J_001042,0,0.46822354
R_005017,J_000584,0,0.5826365
R_005418,J_000384,1,0.7346163
R_004210,J_000501,1,0.64824253
R_002962,J_002335,0,0.5077779
R_005925,J_001165,1,0.4920832
R_003104,J_000770,0,0.60508436
R_002986,J_002437,0,0.4159863
R_001111,J_001807,0,0.6252014
R_005634,J_001174,0,0.56383693
R_003620,J_001092,1,0.8044018
R_002855,J_002234,0,0.5674155
R_002718,J_000696,1,0.49403152
R_003782,J_001809,0,0.51455075
R_002025,J_001496,1,0.64696497
R_009750,J_000081,0,0.4556699
R_000666,J_001419,0,0.39494914
R_007722,J_000871,0,0.39330518
R_008778,J_002079,1,0.6277634
R_001885,J_001545,0,0.64285904
R_000244,J_000248,1,0.47180098
R_000905,J_001264,0,0.44716305
R_000758,J_000268,0,0.4667691
R_007273,J_002328,1,0.5162852
R_008392,J_001261,1,0.6191925
R_000546,J_001703,0,0.41313583
R_008872,J_001418,0,0.7622659
R_000751,J_001732,1,0.78659475
R_006341,J_001710,0,0.4053395
R_005642,J_002368,1,0.58646715
R_006419,J_000213,1,0.6726417
R_007348,J_000052,1,0.47868004
R_000113,J_001632,1,0.68730336
R_004276,J_001727,0,0.5228909
R_007155,J_002077,0,0.47286844
R_006902,J_002467,1,0.6856903
R_000388,J_001671,0,0.45292708
R_002445,J_002241,0,0.47730452
R_004517,J_000736,0,0.47690654
R_000014,J_002121,1,0.6140208
R_006246,J_000829,1,0.6938069
R_007261,J_002487,1,0.6280799
R_007699,J_002365,1,0.70157814
R_002109,J_000200,1,0.44479254
R_009776,J_001168,0,0.5289913
R_008884,J_001833,0,0.5577278
R_002005,J_000839,1,0.5573322
R_006733,J_001892,0,0.55878973
R_001522,J_001210,1,0.5670539
R_006585,J_001926,1,0.58135283
R_005367,J_001176,1,0.53749514
R_002175,J_000290,0,0.49060237
R_002861,J_002325,0,0.48214206
R_006049,J_002288,1,0.6993909
R_000351,J_002368,0,0.51357675
R_004788,J_000267,1,0.7775393
R_008672,J_002497,1,0.71825045
R_008602,J_000192,0,0.5937625
R_005608,J_000194,0,0.45153788
R_001459,J_001885,0,0.5388853
R_001562,J_002234,0,0.42604482
R_005438,J_001399,1,0.74215066
R_001620,J_001580,1,0.6398928
R_007921,J_000031,0,0.46417028
R_008943,J_001967,1,0.7073543
R_008659,J_000838,0,0.4306709
R_003423,J_000533,0,0.61116296
R_009333,J_001465,1,0.65016854
R_005931,J_000166,1,0.70142853
R_000159,J_002295,1,0.63901144
R_000265,J_001223,1,0.537601
R_001220,J_001206,0,0.4203767
R_001993,J_001494,0,0.43705255
R_002361,J_002302,0,0.3893938
R_001422,J_001491,1,0.47943467
R_008565,J_000381,1,0.79337144
R_004960,J_001689,1,0.6347214
R_007189,J_000910,1,0.6958685
R_000501,J_000416,0,0.44668448
R_004180,J_001238,1,0.8148392
R_001021,J_000084,0,0.43725574
R_005667,J_000023,1,0.72665334
R_002121,J_000543,0,0.46095797
R_002745,J_001610,1,0.7640379
R_008678,J_002211,0,0.44522566
R_007246,J_000674,0,0.47553343
R_003859,J_000256,1,0.5348215
R_006309,J_001624,1,0.67832065
R_005713,J_000798,0,0.4916181
R_000362,J_001265,1,0.7185539
R_002734,J_001382,1,0.7395451
