node_id,node_type,specialization_label,label_definition
R_000000,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000001,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000002,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000003,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000004,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000005,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000006,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000007,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000008,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000009,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000010,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000011,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000012,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000013,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000014,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000015,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000016,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000017,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000018,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000019,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000020,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000021,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000022,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000023,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000024,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000025,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000026,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000027,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000028,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000029,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000030,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000031,CV,generalist,specialized if exactly one skill community; generalist if more than one
